tic_id,sector,fits_file,period,t0_bjd,t0_btjd,duration_hours,tstart,tstop,matched_transit_time
11023038,92,tess2025127075000-s0092-0000000011023038-0289-s_lc.fits,28.380619,2457325.8175,325.81749999988824,4.9392,3802.98655793237,3829.639891088506,3816.633636999888
11439959,92,tess2025127075000-s0092-0000000011439959-0289-s_lc.fits,3.619188,2457313.27367,313.27367000002414,4.36848,3802.983812648377,3829.646866128835,3805.790090000024
11755687,87,tess2024353092137-s0087-0000000011755687-0284-s_lc.fits,3.052524,2458468.68524,1468.6852400000207,2.2564388,3663.058396655248,3689.188554828183,3663.4499960000207
12421862,2,tess2018234235059-s0002-0000000012421862-0121-s_lc.fits,10.215213,2459480.048,2480.0479999999516,2.26,1354.112447412229,1381.519637077359,1356.3745699999515
12421862,29,tess2020238165205-s0029-0000000012421862-0193-s_lc.fits,10.215213,2459480.048,2480.0479999999516,2.26,2088.244146621586,2114.438701981433,2091.8699059999517
12421862,69,tess2023237165326-s0069-0000000012421862-0264-s_lc.fits,10.215213,2459480.048,2480.0479999999516,2.26,3182.358875743184,3208.14378602374,3184.8976969999517
12421862,96,tess2025232030459-s0096-0000000012421862-0293-s_lc.fits,10.215213,2459480.048,2480.0479999999516,2.26,3907.778784210649,3933.440283460659,3910.1778199999517
13349647,8,tess2019032160000-s0008-0000000013349647-0136-s_lc.fits,1.53736596,2455569.83771,-1430.162289999891,1.81584,1517.368179287533,1542.005335088988,1518.5056212801092
13349647,34,tess2021014023720-s0034-0000000013349647-0204-s_lc.fits,1.53736596,2455569.83771,-1430.162289999891,1.81584,2228.771658734678,2254.070662369004,2230.306060760109
13349647,61,tess2023018032328-s0061-0000000013349647-0250-s_lc.fits,1.53736596,2455569.83771,-1430.162289999891,1.81584,2962.803374024386,2988.221674001671,2963.629623680109
13349647,88,tess2025014115807-s0088-0000000013349647-0285-s_lc.fits,1.53736596,2455569.83771,-1430.162289999891,1.81584,3690.163564258663,3717.929195426825,3690.803722760109
13349647,99,tess2026005125623-s0099-0000000013349647-0300-s_lc.fits,1.53736596,2455569.83771,-1430.162289999891,1.81584,4046.126891150085,4073.772084701641,4047.472625480109
14156936,71,tess2023289093419-s0071-0000000014156936-0266-s_lc.fits,4.9394392,2459712.57912,2712.579119999893,4.98,3234.550034815959,3259.862204849413,3236.159675199893
14227229,70,tess2023263165758-s0070-0000000014227229-0265-s_lc.fits,5.3518963,2459519.1348,2519.1348000001162,3.2362,3208.538313787604,3233.798577484753,3209.5294227001164
